"","Control","Psoriasis","Maturity","Marker"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (CD11c)","591.3500","764.4286","Mature","CD11c"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (ILT4)"," 956.000","1329.143","Mature","ILT4"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (HLA-DR)"," 7682.00","13537.57","Mature","HLA-DR"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (CD172)"," 9651.25","10654.29","Mature","CD172"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (BDCA-2)","121.6050","234.2857","Mature","BDCA-2"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (CD205)"," 3311.75","14908.71","Mature","CD205"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (BDCA-3)","1654.500","2608.429","Mature","BDCA-3"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (CD40)","11380","18402","Mature","CD40"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (CD163)"," 717.000","1509.429","Mature","CD163"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (CD207)","763.7500","612.4286","Mature","CD207"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (DCR1)","2476.75","2751.00","Mature","DCR1"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (ILT3)","1082.000","1144.571","Mature","ILT2"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR high | Median (BDCA-1)","9715.000","3641.571","Mature","BDCA-1"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (CD11c)"," 517.500","2204.871","Semimature","CD11c"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (ILT4)"," 526.25","2277.30","Semimature","ILT4"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (HLA-DR)","1175.000","1428.714","Semimature","HLA-DR"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (CD172)","4662.000","7217.929","Semimature","CD172"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (BDCA-2)"," 39.5500","173.1214","Semimature","BDCA-2"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (CD205)","463.7500","831.4286","Semimature","CD205"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (BDCA-3)","1733.750","6047.429","Semimature","BDCA-3"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (CD40)","1192.750","2693.143","Semimature","CD40"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (CD163)"," 434.500","1664.714","Semimature","CD163"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (CD207)","564.5000","569.9857","Semimature","CD207"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (DCR1)","2904.250","6631.143","Semimature","DCR1"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (ILT3)","381.0000","698.7429","Semimature","ILT2"
"Lymphocytes/Single Cells/Live cells/CD45+ cells/CD3- cells/HLA-DR intermediate | Median (BDCA-1)","2788.7500"," 531.8857","Semimature","BDCA-1"
